variety_name,basic_material_number,crop_description,pre_commercial_name
BC1764,000000000011184124,BROCCOLI,PS-05171764
TLALOC,000000000010797597,BROCCOLI,PX-261295
LIEUTENANT,000000000010916060,BROCCOLI,PX-05151597
CHEVALIER,000000000010840768,BROCCOLI,XP-12149
BC1691,000000000011061973,BROCCOLI,PS-05161691
BC1611,000000000011199075,BROCCOLI,RS-05151611
HERITAGE,000000000010761100,BROCCOLI,PX-255295
FANTASTICO,000000000010836874,BROCCOLI,PX-05111234
SIBSEY,000000000010780268,BROCCOLI,RX-05950001
CASTLE DOME,000000000010768222,BROCCOLI,PX-05131536
IRONMAN,000000000010760300,BROCCOLI,RX-05931160
STEEL,000000000010890909,BROCCOLI,RX-05951180
LEGACY,000000000010833041,BROCCOLI,LEGACY
SV1822BL,000000000011484438,BROCCOLI,SVR-05181822
OMPHALOS,000000000010785920,CABBAGE,OMPHALOS
ASTRUS PLUS,000000000010784104,CABBAGE,HN-11799181
QUARTZ,000000000010785055,CABBAGE,GANNESHA
KRONOS,000000000010832838,CABBAGE,RX-3141
ARRIVIST,000000000010834526,CABBAGE,RX-3138
CHAMP,000000000010772411,CABBAGE,CHAMP
ZENNITH,000000000010805087,CABBAGE,ZENNITH
SHAURYA,000000000010791953,CABBAGE,HN-11720057
PANDION,000000000010770706,CABBAGE,RX-3156
RAPIDION,000000000010927323,CABBAGE,RX-05873423
MILLENIUM III,000000000010791037,CABBAGE,MILLENIUM-III
GREEN FLASH,000000000010788791,CABBAGE,GREEN-FLASH
GREEN CHALLENGER,000000000010809234,CABBAGE,GREEN-CHALLENGER
SV3336JB,000000000010828276,CABBAGE,PX-05843336
GLORIA,000000000010791802,CABBAGE,RX-86000
ATLANTIS,000000000010811655,CABBAGE,PX-4389
DOLARES,000000000010806948,CABBAGE,DOLARES
GREEN VOYAGER,000000000010823114,CABBAGE,GREEN-VOYAGER
BLUE DYNASTY,000000000010771386,CABBAGE,EX-15509
SAINT,000000000010822898,CABBAGE,SAINT
WONDER BALL,000000000010779179,CABBAGE,HN-11710038
WINTER SPECIAL,000000000010785895,CABBAGE,RX-7003
WINTERSUPREME PLUS,000000000010774226,CABBAGE,RX-05807004
RINDA,000000000010767595,CABBAGE,RINDA
MENZANIA,000000000010838701,CABBAGE,RX-05843338
VESTRI,000000000010891710,CABBAGE,RX-903005
AMBROSIA,000000000010760320,CABBAGE,RX-05803198
ATRIA,000000000010817844,CABBAGE,ATRIA
ROXY,000000000010809017,CABBAGE,ROXY
RED DYNASTY,000000000010757896,CABBAGE,EX-15511R
TROPICANA,000000000010783462,CABBAGE,PX-86384
TROPIC SUN PLUS,000000000010825916,CABBAGE,HN-11720242
CARIBBEAN QUEEN,000000000010781001,CABBAGE,PX-11190
AMPHION,000000000010775734,CABBAGE,RX-85231
OXYLUS,000000000010775733,CABBAGE,OXYLUS
TIPTON,000000000010785579,CAULIFLOWER,RX-5344
MOMENTUM,000000000010767802,CAULIFLOWER,RX-05955686
CHIEFTAIN,000000000010775735,CAULIFLOWER,PX-533990
TYPICAL,000000000010759750,CAULIFLOWER,RX-05955978
SV5864AC,000000000011496104,CAULIFLOWER,RX05905864
RS 5350,000000000010766202,CAULIFLOWER,RX-5350
TALVENA,000000000010893856,CAULIFLOWER,RS-05955962
BROMHA,000000000010812733,CAULIFLOWER,RX-05935437
AREZZO,000000000010800197,CAULIFLOWER,PX-05142503
RS 05955609,000000000010773995,CAULIFLOWER,RX-05955609
DEVINA,000000000010771315,CAULIFLOWER,PX-7015
SV5965AC,000000000010927276,CAULIFLOWER,RX-05965965
VENEZA,000000000010817705,CAULIFLOWER,HX-10121513
MEGHA,000000000010792532,CAULIFLOWER,RX-05995338
SV5777AC,000000000011057674,CAULIFLOWER,RX-05985777
TONALE,000000000010778297,CAULIFLOWER,RX-05945993
JUBERA,000000000011305297,CAULIFLOWER,RX-05905839
CHEDDAR,000000000010905126,CAULIFLOWER,PX-661996
VERONA CMS,000000000010819204,CAULIFLOWER,PX-05142501
GIEWONT,000000000010910844,CAULIFLOWER,RX-05975785
CIELO BLANCO,000000000010839188,CAULIFLOWER,PX-514415
DAWN 175,000000000010829649,CAULIFLOWER,RX-10950175
SV5697AC,000000000010927274,CAULIFLOWER,RX-05975697
ABENI,000000000010802833,CAULIFLOWER,RX-05965687
RUSHMORE,000000000010762480,CAULIFLOWER,RX-83234
MINUTEMAN,000000000010791805,CAULIFLOWER,PX-520389
CARANTIC,000000000010836344,CAULIFLOWER,RX-05975738
BARCELONA CMS,000000000010769645,CAULIFLOWER,PX-05142502
CONERO,000000000010764398,CAULIFLOWER,RX-05905261
FORATA,000000000010808410,CAULIFLOWER,RX-05965710
SV5982AC,000000000010910840,CAULIFLOWER,RX-05975982
FREEDOM,000000000010806052,CAULIFLOWER,RX-5209
FORTALEZA,000000000010910847,CAULIFLOWER,RX-05975781
SV5818AC,000000000011144939,CAULIFLOWER,RX-05985818
BARKHA,000000000010802888,CAULIFLOWER,RX-05995340
BRM 51-1049 SC,000000000010878283,BROCCOLI,
BRM 51-1048 SI,000000000010844879,BROCCOLI,
WGP 56-1756 SI,000000000010893788,CABBAGE,
CMA 56-48 SI * HP 48,000000000010843147,CAULIFLOWER,
CENTRO,000000000011145005,MELON,CENTRO
DORAL,000000000010811084,MELON,PX-1087
GIORILLO,000000000011203247,MELON,PX-03773203
YELLOW FUN,000000000011143512,MELON,YELLOWFUN
SV3062MN,000000000011048062,MELON,EX-11133062
DRM 3174,000000000011144043,MELON,DRM-3174
DRM 3241,000000000011141854,MELON,DRM-3241
RS 11105026,000000000010791185,MELON,RX-11105026
SV6556MC,000000000011492865,MELON,CHA-UMH-6556
FIESTA,000000000010837961,MELON,PX-7282
AMBROSIA HYB,000000000010784032,MELON,AMBROSIA-HYB
MELIDOR,000000000011137447,MELON,MELIDOR
DRG 3228,000000000011165054,MELON,DRG-3228
MC LAREN,000000000011137453,MELON,DRG-2803
SANTA FE,000000000010828870,MELON,PX-32192
SATURNO,000000000010797744,MELON,PX9794
ORANGE DELIGHT,000000000010757908,MELON,PX-16994
DEWLICIOUS,000000000010868965,MELON,PX-8893
SV5448ML,000000000011492883,MELON,ITA-UMH-5448
HIRANYA,000000000010768949,MELON,RX-03440042
HY-MARK,000000000010815684,MELON,PX-781
BENGAL,000000000010771019,SQUASH,BENGAL
ROMOLO,000000000010757625,SQUASH,EX-16063
GHEPPIO,000000000010809239,SQUASH,RX-4840526
GREYZINI,000000000010784476,SQUASH,GREYZINI
STORRS GREEN,000000000010762938,SQUASH,PSX-11295
PRESIDENT,000000000010777608,SQUASH,PRESIDENT
KIMBER,000000000011203434,SQUASH,990800008
SENATOR,000000000010825318,SQUASH,EXH-1044
TAYBELLE PM,000000000010761873,SQUASH,EX-1755
CANESI,000000000010791054,SQUASH,PX-11304
PX 13067051,000000000010804531,SQUASH,PX-13067051
PRIZEWINNER HYBRID,000000000010824083,SQUASH,PRIZEWINNER-HYBRID
3PH74,000000000010845713,SQUASH,3PH74
BUCKSKIN,000000000010781007,SQUASH,PSX-10295
ORANGE SMOOTHIE,000000000010759949,SQUASH,ORANGE-SMOOTHIE
ESKENDERANY,000000000010839413,SQUASH,ESKENDERANY
REVERA,000000000010837970,SQUASH,PX-4716877
CLAUDINA,000000000010770629,SQUASH,EX-16060
MARZOUKA,000000000010817545,SQUASH,RX-4713127
PS 4843346,000000000010817129,SQUASH,PX-4843346
TOP KAPI,000000000010809784,SQUASH,TOP-KAPI
CLARITA,000000000010762668,SQUASH,CLARITA
ANITA,000000000010782315,SQUASH,PX-3981
VITORIA,000000000010836504,SQUASH,HX-10292002
DIXIE,000000000010788611,SQUASH,EX-CR2
SUNNY DELIGHT,000000000010832353,SQUASH,PX-42395
CHACABUCO,000000000010796848,SQUASH,PX-13046073
PS 2588,000000000010770734,SQUASH,PSX-2588
AMBASSADOR,000000000010819700,SQUASH,AMBASSADOR
